time,x,y,u,v,phase,toe_x,toe_y,energy
0.259000,1.121504,0.789710,3.952255,-0.351366,1,1.165118,0.000000,19.990674
0.260000,1.125455,0.789374,3.950050,-0.319361,1,1.165118,0.000000,19.990674
0.261000,1.129404,0.789071,3.948048,-0.287243,1,1.165118,0.000000,19.990674
0.262000,1.133351,0.788800,3.946250,-0.255023,1,1.165118,0.000000,19.990674
0.263000,1.137296,0.788561,3.944659,-0.222711,1,1.165118,0.000000,19.990674
0.264000,1.141240,0.788354,3.943276,-0.190320,1,1.165118,0.000000,19.990674
0.265000,1.145183,0.788180,3.942101,-0.157860,1,1.165118,0.000000,19.990674
0.266000,1.149124,0.788039,3.941136,-0.125343,1,1.165118,0.000000,19.990674
0.267000,1.153065,0.787930,3.940382,-0.092782,1,1.165118,0.000000,19.990674
0.268000,1.157005,0.787853,3.939839,-0.060186,1,1.165118,0.000000,19.990674
0.269000,1.160945,0.787809,3.939509,-0.027568,1,1.165118,0.000000,19.990674
0.270000,1.164884,0.787798,3.939390,0.005061,1,1.165118,0.000000,19.990674
0.271000,1.168824,0.787819,3.939483,0.037689,1,1.165118,0.000000,19.990674
0.272000,1.172763,0.787873,3.939789,0.070305,1,1.165118,0.000000,19.990674
0.273000,1.176703,0.787960,3.940306,0.102897,1,1.165118,0.000000,19.990674
0.274000,1.180644,0.788079,3.941035,0.135454,1,1.165118,0.000000,19.990674
0.275000,1.184586,0.788231,3.941975,0.167964,1,1.165118,0.000000,19.990674
0.276000,1.188528,0.788415,3.943124,0.200416,1,1.165118,0.000000,19.990674
0.277000,1.192472,0.788632,3.944482,0.232798,1,1.165118,0.000000,19.990674
0.278000,1.196417,0.788881,3.946048,0.265099,1,1.165118,0.000000,19.990674
0.279000,1.200364,0.789162,3.947819,0.297307,1,1.165118,0.000000,19.990674
0.280000,1.204313,0.789475,3.949796,0.329412,1,1.165118,0.000000,19.990674
0.281000,1.208264,0.789821,3.951975,0.361401,1,1.165118,0.000000,19.990674
0.282000,1.212217,0.790198,3.954355,0.393264,1,1.165118,0.000000,19.990674
0.283000,1.216173,0.790607,3.956934,0.424990,1,1.165118,0.000000,19.990674
0.284000,1.220131,0.791048,3.959709,0.456566,1,1.165118,0.000000,19.990674
0.285000,1.224092,0.791520,3.962679,0.487983,1,1.165118,0.000000,19.990674
0.286000,1.228056,0.792024,3.965839,0.519229,1,1.165118,0.000000,19.990674
0.287000,1.232024,0.792559,3.969189,0.550293,1,1.165118,0.000000,19.990674
0.288000,1.235995,0.793124,3.972723,0.581164,1,1.165118,0.000000,19.990674
0.289000,1.239969,0.793721,3.976440,0.611832,1,1.165118,0.000000,19.990674
0.290000,1.243948,0.794348,3.980337,0.642285,1,1.165118,0.000000,19.990674
0.291000,1.247930,0.795005,3.984409,0.672514,1,1.165118,0.000000,19.990674
0.292000,1.251917,0.795693,3.988653,0.702507,1,1.165118,0.000000,19.990674
0.293000,1.255907,0.796410,3.993065,0.732255,1,1.165118,0.000000,19.990674
0.294000,1.259903,0.797157,3.997641,0.761746,1,1.165118,0.000000,19.990674
0.295000,1.263903,0.797934,4.002378,0.790970,1,1.165118,0.000000,19.990674
0.296000,1.267907,0.798739,4.007271,0.819918,1,1.165118,0.000000,19.990674
0.297000,1.271917,0.799573,4.012316,0.848580,1,1.165118,0.000000,19.990674
0.298000,1.275932,0.800436,4.017508,0.876945,1,1.165118,0.000000,19.990674
0.299000,1.279952,0.801327,4.022842,0.905003,1,1.165118,0.000000,19.990674
0.300000,1.283978,0.802246,4.028315,0.932745,1,1.165118,0.000000,19.990674
0.301000,1.288009,0.803193,4.033920,0.960162,1,1.165118,0.000000,19.990674
0.302000,1.292046,0.804166,4.039654,0.987244,1,1.165118,0.000000,19.990674
0.303000,1.296088,0.805167,4.045510,1.013981,1,1.165118,0.000000,19.990674
0.304000,1.300137,0.806194,4.051485,1.040365,1,1.165118,0.000000,19.990674
0.305000,1.304191,0.807248,4.057572,1.066386,1,1.165118,0.000000,19.990674
0.306000,1.308252,0.808327,4.063765,1.092036,1,1.165118,0.000000,19.990674
0.307000,1.312319,0.809432,4.070061,1.117305,1,1.165118,0.000000,19.990674
0.308000,1.316392,0.810561,4.076452,1.142186,1,1.165118,0.000000,19.990674
0.309000,1.320472,0.811716,4.082934,1.166669,1,1.165118,0.000000,19.990674
0.310000,1.324558,0.812895,4.089500,1.190746,1,1.165118,0.000000,19.990674
0.311000,1.328651,0.814097,4.096144,1.214409,1,1.165118,0.000000,19.990674
0.312000,1.332750,0.815323,4.102861,1.237651,1,1.165118,0.000000,19.990674
0.313000,1.336857,0.816572,4.109645,1.260462,1,1.165118,0.000000,19.990674
0.314000,1.340970,0.817844,4.116489,1.282836,1,1.165118,0.000000,19.990674
0.315000,1.345090,0.819138,4.123388,1.304764,1,1.165118,0.000000,19.990674
0.316000,1.349216,0.820453,4.130335,1.326240,1,1.165118,0.000000,19.990674
0.317000,1.353350,0.821790,4.137323,1.347255,1,1.165118,0.000000,19.990674
0.318000,1.357491,0.823148,4.144348,1.367804,1,1.165118,0.000000,19.990674
0.319000,1.361639,0.824526,4.151401,1.387879,1,1.165118,0.000000,19.990674
0.320000,1.365794,0.825923,4.158477,1.407472,1,1.165118,0.000000,19.990674
0.321000,1.369956,0.827340,4.165569,1.426578,1,1.165118,0.000000,19.990674
0.322000,1.374125,0.828776,4.172671,1.445190,1,1.165118,0.000000,19.990674
